Aversion2;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;82400;62200;34400;131400
200;315300;278000;172000;411900
300;1.6237e+06;713700;374900;1.0909e+06
400;2.3e+06;1.1938e+06;838800;1.2124e+06
500;2.0971e+06;2.4321e+06;1.2981e+06;2.5359e+06
600;5.4299e+06;2.9406e+06;2.4402e+06;3.6247e+06
700;1.00598e+07;3.8054e+06;1.7013e+06;4.6213e+06
800;5.4199e+06;4.7217e+06;2.8713e+06;6.5632e+06
900;8.7474e+06;7.0247e+06;3.4442e+06;8.9401e+06
1000;7.5757e+06;8.5613e+06;4.8939e+06;9.7465e+06
1100;9.3906e+06;1.09696e+07;4.6763e+06;1.18823e+07
1200;1.15608e+07;1.03421e+07;6.8247e+06;1.49271e+07
1300;1.2063e+07;1.39727e+07;8.255e+06;1.80537e+07
1400;1.38731e+07;1.469e+07;9.2488e+06;2.00951e+07
1500;1.51761e+07;1.64571e+07;9.4568e+06;2.72341e+07
1600;1.90092e+07;1.96759e+07;1.23508e+07;2.51158e+07
1700;2.22728e+07;2.13555e+07;1.2023e+07;2.91975e+07
1800;2.5065e+07;2.67954e+07;1.37754e+07;3.54564e+07
1900;2.66326e+07;2.72777e+07;1.59269e+07;5.79532e+07
2000;3.26307e+07;3.19795e+07;1.95769e+07;4.12017e+07
2100;3.28667e+07;3.4498e+07;2.48556e+07;4.38147e+07
2200;3.55424e+07;3.99649e+07;2.31438e+07;4.86405e+07
2300;4.51492e+07;4.63334e+07;2.38002e+07;5.48292e+07
2400;4.78163e+07;4.76259e+07;2.45374e+07;5.80716e+07
2500;4.86024e+07;5.24524e+07;2.77758e+07;6.32932e+07
2600;5.72629e+07;5.84321e+07;2.79312e+07;6.46319e+07
2700;5.57839e+07;6.06832e+07;3.11294e+07;8.51681e+07
2800;5.90382e+07;6.81648e+07;3.82728e+07;7.78189e+07
2900;6.53899e+07;6.78394e+07;3.85937e+07;7.96657e+07
3000;6.76953e+07;7.23093e+07;3.90398e+07;8.55995e+07
3100;7.00839e+07;7.54458e+07;4.04241e+07;9.66865e+07
3200;7.74366e+07;8.3909e+07;4.51311e+07;1.03153e+08
3300;8.25028e+07;8.95574e+07;4.68094e+07;1.07585e+08
3400;9.70771e+07;9.94433e+07;4.88001e+07;1.14096e+08
3500;9.28714e+07;1.02777e+08;5.23813e+07;1.19291e+08
3600;9.71643e+07;1.06367e+08;6.01922e+07;1.25284e+08
3700;1.0043e+08;1.12947e+08;6.09232e+07;1.32257e+08
3800;1.08554e+08;1.19085e+08;6.40855e+07;1.39124e+08
3900;1.15718e+08;1.28218e+08;6.80872e+07;1.45967e+08
4000;1.21323e+08;1.33547e+08;6.82852e+07;1.5151e+08
4100;1.42749e+08;1.37249e+08;7.51262e+07;1.636e+08
