 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell;
21;1.24015e+07;3.14426e+07;2.68831e+07;2.87121e+07;1.51265e+07;4.9467e+06;89300;220700;5.9539e+06;8.23186e+07;540900;290200;311200
22;1.63369e+07;3.63179e+07;3.06268e+07;3.64107e+07;2.15476e+07;7.6707e+06;97000;253800;6.5747e+06;8.57571e+07;611100;414300;614300
23;1.6302e+07;4.04443e+07;3.26166e+07;3.25181e+07;1.98058e+07;8.1851e+06;231000;325300;7.6597e+06;9.22382e+07;684600;365600;434100
24;1.54237e+07;4.35681e+07;4.15985e+07;3.78211e+07;2.25146e+07;1.03225e+07;143600;312800;7.4163e+06;9.97339e+07;723300;444700;454700
25;1.68776e+07;4.51858e+07;3.83769e+07;4.49243e+07;2.12498e+07;7.6902e+06;112600;272700;7.3095e+06;1.11075e+08;647600;404400;395300
26;1.80326e+07;5.03186e+07;5.89951e+07;4.94464e+07;2.59576e+07;9.6216e+06;143500;301500;7.5949e+06;1.11374e+08;779900;386800;421600
27;1.8411e+07;5.83489e+07;4.89835e+07;4.83467e+07;2.47709e+07;8.2637e+06;104600;279100;9.0212e+06;1.33922e+08;773400;411500;416500
28;2.06055e+07;5.58666e+07;5.22539e+07;5.15502e+07;2.6148e+07;8.7226e+06;127200;313000;8.1223e+06;1.33534e+08;1.0153e+06;552100;451500
29;2.55839e+07;5.56281e+07;5.8759e+07;5.97484e+07;2.95879e+07;1.24428e+07;116900;305500;8.327e+06;1.47238e+08;772800;429400;386000
30;3.06458e+07;5.97836e+07;5.95722e+07;5.88343e+07;3.32081e+07;1.00295e+07;115900;295300;8.5499e+06;1.48313e+08;1.1059e+06;860300;540800
31;3.48578e+07;7.1868e+07;6.93288e+07;6.33669e+07;3.31804e+07;1.20553e+07;136500;289900;9.4031e+06;1.6599e+08;880900;509900;497100
32;3.18732e+07;6.52761e+07;6.81498e+07;6.99049e+07;3.56214e+07;1.13653e+07;126500;305700;1.15971e+07;1.69891e+08;888500;521700;557900
33;3.54453e+07;7.74587e+07;7.18821e+07;7.49046e+07;3.40376e+07;1.35859e+07;172500;393400;9.5359e+06;1.79294e+08;933700;479000;540300
34;4.04074e+07;7.92251e+07;7.81044e+07;7.84495e+07;4.09361e+07;1.24363e+07;138900;341400;9.1527e+06;1.99114e+08;985500;544100;532300
35;4.03807e+07;8.07602e+07;8.0162e+07;7.99661e+07;3.98502e+07;1.47996e+07;148300;330200;9.3038e+06;1.93152e+08;908100;523800;504200
36;4.51044e+07;8.78141e+07;8.87595e+07;8.44474e+07;4.23708e+07;1.45942e+07;136500;350900;1.14116e+07;2.04402e+08;1.041e+06;569500;505100
37;4.45974e+07;9.62588e+07;9.06107e+07;1.08627e+08;4.70666e+07;1.48162e+07;170500;451000;9.3764e+06;3.19022e+08;2.0187e+06;1.4805e+06;1.1577e+06
38;1.12959e+08;1.49151e+08;1.37715e+08;1.69063e+08;8.27666e+07;1.88622e+07;201600;415000;1.35543e+07;3.91433e+08;2.5179e+06;1.2175e+06;1.321e+06
39;1.16348e+08;1.74358e+08;1.45296e+08;1.19181e+08;5.42351e+07;2.14369e+07;228000;643600;1.42352e+07;2.5461e+08;1.0757e+06;673500;588000
40;5.1289e+07;1.05559e+08;1.10433e+08;1.13424e+08;6.08229e+07;1.86909e+07;176800;436200;1.31656e+07;2.52671e+08;1.1179e+06;711200;716700
41;5.89924e+07;1.1671e+08;1.19236e+08;1.17136e+08;5.43475e+07;2.32989e+07;174100;403200;1.20739e+07;2.63568e+08;1.0487e+06;555000;675900

1;31300;56100;57100;56000;34400;17100;71400;30400;207100;278000;13500;9900;14200
2;157300;381400;273700;258100;181900;80000;90100;45500;591700;913100;36200;28700;33100
3;275900;560200;575900;666200;406100;160200;96400;56200;925500;1.9508e+06;67000;56600;59500
4;586400;1.162e+06;1.1789e+06;1.0993e+06;666400;273500;108300;74700;1.0794e+06;3.1839e+06;109300;100700;119200
5;904200;2.0306e+06;1.9531e+06;2.3847e+06;1.3015e+06;484800;122600;144400;1.8998e+06;6.1191e+06;153300;128100;129500
6;1.1893e+06;3.1118e+06;3.3231e+06;2.9312e+06;2.9648e+06;1.1431e+06;154500;112100;3.8176e+06;8.5742e+06;166900;152200;138700
7;1.4044e+06;3.0325e+06;3.1316e+06;3.8238e+06;2.0638e+06;851800;136100;102500;2.1043e+06;9.1692e+06;209900;185100;169400
8;2.0639e+06;5.6275e+06;4.7434e+06;4.144e+06;2.9678e+06;1.4125e+06;231900;159500;2.593e+06;1.37577e+07;269100;208600;231300
9;2.4223e+06;5.2644e+06;6.0642e+06;6.475e+06;9.634e+06;2.4586e+06;340500;205200;3.9547e+06;1.82893e+07;315100;337600;314100
10;3.6068e+06;8.7451e+06;7.3336e+06;7.8888e+06;5.2678e+06;2.4147e+06;183000;231300;3.4335e+06;2.12673e+07;409700;329200;321400
11;4.1575e+06;8.462e+06;8.3349e+06;1.06874e+07;5.1126e+06;1.8919e+06;136900;131300;3.0512e+06;1.99035e+07;355000;326000;314000
12;4.162e+06;1.09002e+07;1.21715e+07;1.07123e+07;5.798e+06;2.1295e+06;131300;136300;3.3102e+06;2.30483e+07;419200;380300;390100
13;7.5291e+06;1.10142e+07;1.4294e+07;1.24618e+07;7.2411e+06;2.6534e+06;163000;161600;3.526e+06;2.63429e+07;454300;430200;427600
14;5.7179e+06;1.18417e+07;1.69726e+07;1.39137e+07;8.1559e+06;3.5031e+06;175400;201100;4.7096e+06;2.95507e+07;491400;492500;589900
15;6.1194e+06;1.3241e+07;1.8922e+07;1.86948e+07;1.04312e+07;4.5434e+06;190100;204100;4.9293e+06;3.55742e+07;431400;400500;421100
16;8.3884e+06;1.72724e+07;2.08532e+07;1.65068e+07;1.06133e+07;4.3937e+06;234600;250300;5.104e+06;3.98312e+07;556800;488000;459300
17;7.922e+06;2.6534e+07;2.03515e+07;2.03966e+07;1.11045e+07;4.4083e+06;171300;246300;4.7167e+06;4.39008e+07;572000;653000;555100
18;1.19788e+07;2.4497e+07;2.14286e+07;2.4424e+07;1.55943e+07;4.4844e+06;166000;221400;5.1768e+06;5.75828e+07;741300;619300;1.1435e+06
19;1.05565e+07;3.06441e+07;2.63442e+07;2.56908e+07;1.79931e+07;6.7045e+06;208400;261500;5.9336e+06;5.44623e+07;667400;516500;567000
20;1.06436e+07;3.21929e+07;2.94559e+07;2.68451e+07;1.82292e+07;7.6713e+06;178700;235200;5.612e+06;6.56097e+07;741300;733900;659100
21;1.13621e+07;3.4499e+07;3.05566e+07;3.14105e+07;1.70643e+07;7.3319e+06;283400;241700;6.9289e+06;6.34315e+07;754500;701000;677500
22;1.43411e+07;3.39768e+07;3.52325e+07;3.3589e+07;2.97235e+07;7.0914e+06;176500;221900;6.1127e+06;7.21916e+07;813700;693900;915800
23;1.39659e+07;3.90474e+07;3.714e+07;3.79193e+07;2.52849e+07;8.0949e+06;180300;254400;6.1681e+06;7.75803e+07;831300;811800;781200
24;1.55744e+07;4.06737e+07;4.02203e+07;3.64627e+07;2.22477e+07;8.6569e+06;238200;308100;7.7797e+06;9.15506e+07;860200;722300;744000
25;1.79575e+07;4.38436e+07;4.73945e+07;4.69539e+07;2.72882e+07;9.9664e+06;283900;449200;9.4243e+06;1.08761e+08;932200;868900;1.087e+06
26;2.63745e+07;5.51003e+07;4.58367e+07;4.9317e+07;2.68694e+07;9.2035e+06;215900;307400;7.1981e+06;1.00141e+08;1.0583e+06;1.2804e+06;1.2211e+06
27;1.92582e+07;5.47977e+07;5.16445e+07;5.78355e+07;2.88848e+07;1.07522e+07;244400;345600;9.3471e+06;1.05795e+08;995700;1.0033e+06;900300
28;2.0157e+07;5.72366e+07;5.57356e+07;5.82923e+07;3.59836e+07;1.10648e+07;201900;259400;7.5348e+06;1.05924e+08;957100;833400;831900
29;2.09022e+07;5.9257e+07;6.46511e+07;5.92103e+07;3.3912e+07;1.23737e+07;213900;309800;8.7119e+06;1.14367e+08;1.0972e+06;1.4253e+06;916300
30;2.55136e+07;7.26112e+07;6.83995e+07;6.28904e+07;3.9117e+07;1.16191e+07;262200;261900;8.9582e+06;1.1817e+08;963500;920500;965100
31;2.49204e+07;6.6611e+07;7.2777e+07;7.13001e+07;4.26504e+07;1.41988e+07;242800;436600;9.198e+06;1.27447e+08;1.1183e+06;964300;1.3387e+06
32;3.46907e+07;8.01939e+07;7.4472e+07;7.77219e+07;4.3047e+07;1.43196e+07;202400;302100;8.8989e+06;1.7692e+08;1.5353e+06;1.2583e+06;1.3919e+06
33;4.60234e+07;9.85047e+07;7.91861e+07;8.4913e+07;4.53817e+07;1.42769e+07;214700;339800;8.7654e+06;1.45306e+08;1.0914e+06;975200;1.0096e+06
34;3.91704e+07;8.41468e+07;8.49769e+07;8.12965e+07;4.45031e+07;1.52392e+07;219900;321500;8.5887e+06;1.44084e+08;1.0976e+06;1.0203e+06;1.0537e+06
35;3.41476e+07;8.68337e+07;8.89617e+07;8.4651e+07;4.85026e+07;1.70786e+07;280300;382000;1.0444e+07;1.511e+08;1.1439e+06;1.1411e+06;1.1278e+06
36;3.78267e+07;8.6838e+07;9.7618e+07;9.19659e+07;4.96453e+07;1.73925e+07;232300;355200;1.15571e+07;1.63426e+08;1.1362e+06;1.097e+06;1.2153e+06
37;3.77806e+07;9.32577e+07;1.05623e+08;9.42487e+07;5.41007e+07;1.84525e+07;251700;512800;1.03491e+07;1.7147e+08;1.1969e+06;1.107e+06;1.1447e+06
38;3.99114e+07;9.99346e+07;1.09588e+08;9.738e+07;5.87562e+07;1.89864e+07;281100;389600;1.09521e+07;1.81094e+08;1.5036e+06;1.3033e+06;1.39e+06
39;4.37944e+07;1.0558e+08;1.12876e+08;9.99277e+07;5.86664e+07;2.04771e+07;262300;378700;9.6733e+06;1.90656e+08;1.3098e+06;1.1431e+06;1.2848e+06
40;4.56564e+07;1.16163e+08;1.10355e+08;1.08531e+08;6.47539e+07;2.27221e+07;214800;335200;1.07252e+07;1.96418e+08;1.5584e+06;1.4881e+06;1.419e+06
41;5.38193e+07;1.17566e+08;1.12681e+08;1.09398e+08;7.03573e+07;2.18527e+07;224600;355200;1.15717e+07;2.1341e+08;1.4001e+06;1.1205e+06;1.6421e+06

1;26300;47200;31000;29100;12100;7000;69100;29800;192800;555600;13200;8100;7500
2;91900;144900;147900;148900;49200;25300;84200;40300;422100;2.328e+06;59100;38500;26200
3;306400;340100;299400;314400;111700;51000;89800;50900;725600;6.3778e+06;76800;61300;50800
4;819800;706500;728400;650200;187900;87300;97500;64000;967400;8.636e+06;119800;73400;75900
5;1.1202e+06;1.5276e+06;1.1914e+06;1.7084e+06;402300;279300;241100;97100;1.5377e+06;1.3134e+07;181300;84300;88800
6;1.0288e+06;1.4645e+06;1.6435e+06;1.4942e+06;482400;189300;129800;119600;2.3483e+06;1.81327e+07;187700;244000;160300
7;1.7582e+06;2.7661e+06;2.3335e+06;1.8844e+06;460600;215500;109600;94200;2.3623e+06;2.71136e+07;194100;142400;136600
8;1.7902e+06;2.3187e+06;2.3226e+06;2.1277e+06;488700;247700;109900;97000;2.1033e+06;3.26779e+07;222700;176400;155900
9;2.1881e+06;3.3944e+06;3.0445e+06;2.719e+06;706200;283700;121700;118700;2.1318e+06;3.73917e+07;276000;195300;195100
10;2.9513e+06;4.6128e+06;5.2599e+06;5.7223e+06;1.0787e+06;480400;219100;144400;3.4339e+06;4.57461e+07;284700;240000;203900
11;3.1114e+06;4.8468e+06;4.5111e+06;4.0724e+06;1.0806e+06;451300;134100;132700;3.2471e+06;5.80048e+07;328800;244800;255700
12;3.6692e+06;4.7448e+06;5.6999e+06;4.8272e+06;1.191e+06;622600;139600;148700;3.547e+06;6.34896e+07;336100;281600;269000
13;4.4332e+06;5.9906e+06;6.1328e+06;5.8145e+06;1.7389e+06;908200;237800;164000;5.7345e+06;7.93427e+07;414700;297400;300700
14;7.1425e+06;1.12343e+07;9.4342e+06;8.8764e+06;2.0846e+06;879700;154600;167300;3.7508e+06;8.67235e+07;473500;352300;392600
