0-4000
 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell;
50;4187;7379;7996;7671;4054;4131;16757;7314;1740;2439;4465;2433;1905
100;15979;30273;32410;31367;17756;14387;17620;10514;4000;8086;10426;5611;4878
150;35283;70879;77388;76815;44954;32598;18470;13714;6432;17274;16880;9149;8627
200;62149;124001;134310;132168;76555;53489;19320;16914;9006;30044;23537;13024;12571
250;96456;190303;204531;201384;113721;77710;20170;20114;11580;44500;30793;16954;15024
300;138195;270065;290405;285313;156942;105472;21020;23314;14352;63510;38105;21184;20515
