sorted-descend
 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell;
50;38400;51500;36600;29800;44900;37000;265300;75200;343900;348800;20900;38300;7500
100;210400;334700;162500;157900;116900;55600;141500;101400;455000;594400;28400;16700;14500
150;116700;365400;299700;307700;485900;181600;282600;89600;506400;1.1818e+06;40300;25200;22600
200;185800;526300;435800;464200;718700;222800;123400;60100;597500;1.4444e+06;45000;27200;48600
250;276100;654500;932600;819200;616700;263300;133000;76000;768100;3.3554e+06;69800;52300;42400
300;504000;1.2662e+06;1.5155e+06;1.3087e+06;1.0538e+06;577000;176200;126200;2.0721e+06;3.98e+06;97200;53300;67700
