sorted-descend
 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell;
100;36700;78600;82500;131400;96900;33500;114600;72200;529500;622900;18600;11600;8400
200;180000;367000;415800;411900;359400;131900;111200;99900;1.0049e+06;2.0592e+06;40500;27600;31000
300;331600;857400;873200;1.0909e+06;1.0882e+06;275800;100100;54800;744600;2.2558e+06;85500;46600;43300
400;662900;1.1137e+06;1.158e+06;1.2124e+06;1.8749e+06;514200;110600;63300;1.1539e+06;5.1437e+06;189000;52000;43500
500;1.3075e+06;2.3487e+06;2.9236e+06;2.5359e+06;3.1938e+06;826100;126900;95300;1.9961e+06;9.1833e+06;171400;727800;178100
600;2.0518e+06;4.9089e+06;4.0514e+06;3.6247e+06;2.8367e+06;1.3655e+06;253400;172700;2.0498e+06;9.4531e+06;129300;65500;65000
700;1.4802e+06;4.3492e+06;4.9388e+06;4.6213e+06;5.5652e+06;2.2544e+06;180800;110100;2.0595e+06;1.42555e+07;189400;91500;89100
800;2.5485e+06;5.9778e+06;6.0502e+06;6.5632e+06;7.9713e+06;2.6268e+06;117500;104100;1.9552e+06;1.53359e+07;187200;96700;88200
900;3.484e+06;8.5166e+06;7.6144e+06;8.9401e+06;9.7127e+06;2.8465e+06;140500;152900;2.2762e+06;2.06688e+07;363300;229200;201400
1000;3.6508e+06;9.1513e+06;1.01975e+07;9.7465e+06;9.2603e+06;4.2283e+06;185900;162300;4.461e+06;3.2034e+07;446700;230100;227300
1100;4.8726e+06;1.10793e+07;1.19364e+07;1.18823e+07;1.06708e+07;4.3201e+06;255300;157900;4.2838e+06;3.31122e+07;385800;243700;276900
1200;5.4087e+06;1.1937e+07;1.4932e+07;1.49271e+07;1.66456e+07;5.2274e+06;313200;155100;3.2834e+06;3.69787e+07;325100;153700;154000
1300;5.6605e+06;1.66231e+07;1.64955e+07;1.80537e+07;1.76955e+07;4.7591e+06;145900;134500;3.9133e+06;4.1599e+07;489500;256000;160400
1400;8.2653e+06;2.01612e+07;1.93892e+07;2.00951e+07;1.76114e+07;6.8816e+06;161900;174100;5.0899e+06;5.29465e+07;399700;209900;205100
