0-5
 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell;
50;4132;7087;7351;6942;3543;3809;877;7314;1744;3312;3852;1933;1600
100;15783;29177;30821;30073;15838;13292;1727;10514;3964;12188;8522;4351;3928
150;34916;65315;68695;68276;35217;27023;2577;13714;6330;26158;13938;7029;6657
200;61558;113041;118706;118144;57375;42540;3427;16914;8874;44736;19868;9629;9041
250;95701;177739;185676;184163;91734;65137;4277;20114;11430;70016;25156;12549;11129
300;137331;253873;263268;258569;128606;89265;5127;23314;14106;99766;31730;15569;15180
