0-5
 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell
50;59100;243700;56700;34100;25300;13000;35100;110100;384100;1.2695e+06;14700;42300;7200
100;105300;315900;196400;157800;128500;48500;18300;145700;1.1556e+06;1.2939e+06;25800;32500;63300
150;184000;723600;385400;580500;161600;317100;19300;101800;1.9255e+06;3.3618e+06;33300;28100;20600
200;227300;375000;415200;699200;390300;169900;38200;137800;1.1941e+06;4.064e+06;90300;57100;72200
250;777400;1.3665e+06;805100;969500;414700;181000;33100;97100;1.0221e+06;4.2497e+06;107900;159200;43000
300;466800;1.9049e+06;1.3374e+06;1.0503e+06;497700;259500;29700;115400;2.088e+06;4.5235e+06;145600;128000;88900
