0-5
 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell
100;89300;90800;107300;82400;57100;34000;8700;53800;376400;505800;32200;12600;10100
200;175700;325400;363600;315300;175500;78000;20900;65100;1.1012e+06;1.436e+06;40500;23800;21200
300;477100;1.0677e+06;1.8507e+06;1.6237e+06;445500;537600;27600;82100;2.7448e+06;5.2563e+06;95900;79300;46800
400;1.0642e+06;2.0658e+06;1.5519e+06;2.3e+06;1.6567e+06;347800;47800;102700;2.7712e+06;8.4258e+06;196100;113000;130000
500;1.6322e+06;2.2213e+06;3.0413e+06;2.0971e+06;1.4604e+06;538700;34100;110200;1.6854e+06;7.9084e+06;211700;96400;92200
600;1.9255e+06;3.3799e+06;3.7005e+06;5.4299e+06;3.5572e+06;1.422e+06;111600;128500;5.0978e+06;2.37808e+07;348400;204700;421000
700;4.1695e+06;7.3436e+06;8.3921e+06;1.00598e+07;4.8497e+06;1.9112e+06;102800;181200;6.9688e+06;3.84444e+07;554200;300800;251400
800;7.6093e+06;9.1677e+06;6.5034e+06;5.4199e+06;4.272e+06;2.2001e+06;82000;179700;6.989e+06;4.56854e+07;353600;172100;138000
900;2.85e+06;1.06947e+07;9.1534e+06;8.7474e+06;4.6141e+06;1.7219e+06;87400;239000;5.0276e+06;3.68685e+07;454100;210500;169800
1000;4.7378e+06;8.3789e+06;9.3125e+06;7.5757e+06;6.3389e+06;1.6423e+06;62800;183400;4.1632e+06;2.50129e+07;323100;168800;166600
1100;4.5105e+06;1.03578e+07;9.675e+06;9.3906e+06;5.3976e+06;2.5348e+06;114000;312900;4.8373e+06;3.3513e+07;548200;194200;191500
1200;5.0198e+06;1.21635e+07;1.15111e+07;1.15608e+07;6.3043e+06;2.6866e+06;79700;168000;4.8378e+06;4.52887e+07;371300;191000;197300
1300;5.5174e+06;1.24544e+07;1.28836e+07;1.2063e+07;7.1549e+06;2.7785e+06;67500;180600;4.4158e+06;3.79036e+07;487600;313400;315700
1400;6.3403e+06;1.68208e+07;1.80498e+07;1.38731e+07;7.642e+06;3.3387e+06;71100;205600;4.7619e+06;4.68682e+07;623400;273700;241300
1500;7.9188e+06;2.16811e+07;2.38093e+07;1.51761e+07;8.9758e+06;3.5271e+06;72300;195600;5.1817e+06;5.41944e+07;572900;364400;284000
1600;8.2513e+06;2.68975e+07;2.09529e+07;1.90092e+07;1.02853e+07;3.2871e+06;73300;232200;5.7644e+06;6.17104e+07;485300;262800;320500
1700;1.56767e+07;2.19612e+07;2.15598e+07;2.22728e+07;1.21247e+07;4.3724e+06;91300;219300;6.4663e+06;8.92761e+07;792000;572200;342200
1800;1.22894e+07;2.83817e+07;2.98469e+07;2.5065e+07;1.34209e+07;5.0728e+06;91900;247200;5.7817e+06;7.7641e+07;538800;309200;281000
1900;1.17549e+07;3.35227e+07;3.84139e+07;2.66326e+07;1.48244e+07;5.9579e+06;141700;221300;7.6513e+06;8.12404e+07;598600;447300;448200
2000;1.36423e+07;3.2212e+07;3.24196e+07;3.26307e+07;1.58509e+07;6.8083e+06;225400;299700;9.5189e+06;9.11554e+07;614000;351800;360400
2100;1.42725e+07;3.35322e+07;3.83872e+07;3.28667e+07;1.92497e+07;6.4048e+06;157000;455700;7.6441e+06;9.77946e+07;587400;336300;336600
2200;1.59579e+07;4.31026e+07;3.52631e+07;3.55424e+07;2.52687e+07;7.0651e+06;119300;319300;7.0147e+06;1.04076e+08;747600;400600;469400
2300;1.74589e+07;4.00799e+07;4.07123e+07;4.51492e+07;2.31509e+07;7.8293e+06;186900;375200;8.1642e+06;1.14021e+08;685900;469400;606100
2400;2.25673e+07;4.8979e+07;4.54471e+07;4.78163e+07;2.42106e+07;8.1585e+06;114000;367800;8.5742e+06;1.18588e+08;733400;481000;618100
2500;2.33667e+07;5.10703e+07;4.86227e+07;4.86024e+07;2.51873e+07;9.3146e+06;115400;292500;8.2296e+06;1.31196e+08;749600;423300;376400
2600;2.34906e+07;6.42525e+07;6.50865e+07;5.72629e+07;2.76556e+07;8.9649e+06;115600;285700;1.01872e+07;1.41945e+08;1.0766e+06;441800;442000
2700;2.49387e+07;5.53291e+07;6.49984e+07;5.57839e+07;2.97676e+07;1.34329e+07;138500;332200;1.00386e+07;1.50215e+08;1.2121e+06;548100;632300
2800;3.179e+07;6.57559e+07;6.22258e+07;5.90382e+07;3.01315e+07;1.06564e+07;123600;456300;8.6679e+06;1.61018e+08;946000;727200;577400
2900;2.6231e+07;6.95154e+07;6.36502e+07;6.53899e+07;3.37242e+07;1.2887e+07;168600;631100;1.32445e+07;1.68952e+08;851600;462600;470300
3000;3.12264e+07;7.1854e+07;9.40638e+07;6.76953e+07;3.66584e+07;1.7565e+07;269900;416700;1.05382e+07;1.81554e+08;876400;661300;500000
3100;3.07065e+07;7.74985e+07;7.31687e+07;7.00839e+07;4.33652e+07;1.34831e+07;150500;323900;1.00601e+07;1.93073e+08;1.0055e+06;464200;486200
3200;3.38648e+07;8.12089e+07;8.19056e+07;7.74366e+07;4.74937e+07;1.40247e+07;249600;453400;1.12835e+07;2.06182e+08;1.0324e+06;716300;597800
3300;3.52016e+07;8.85527e+07;8.86957e+07;8.25028e+07;4.31241e+07;1.38637e+07;304300;648900;1.58484e+07;2.15591e+08;991800;749600;653500
3400;3.96739e+07;9.55856e+07;9.85038e+07;9.70771e+07;5.50025e+07;1.9651e+07;224300;459000;1.33675e+07;2.66741e+08;1.4734e+06;556700;538100
3500;4.08747e+07;1.17419e+08;9.35497e+07;9.28714e+07;5.30725e+07;1.68961e+07;178900;519600;1.21585e+07;2.38174e+08;1.0565e+06;581200;554900
3600;4.71852e+07;1.00586e+08;9.896e+07;9.71643e+07;5.61173e+07;1.84637e+07;148100;360200;1.28206e+07;2.5339e+08;1.0766e+06;607400;676900
3700;4.55557e+07;1.09828e+08;1.00514e+08;1.0043e+08;5.92939e+07;1.70435e+07;152800;396700;1.29664e+07;2.66282e+08;1.146e+06;919700;666700
3800;5.00022e+07;1.13026e+08;1.14678e+08;1.08554e+08;6.148e+07;2.04897e+07;202100;471400;1.68619e+07;2.77462e+08;1.1113e+06;563800;646100
3900;5.09769e+07;1.21016e+08;1.18642e+08;1.15718e+08;6.14002e+07;2.32882e+07;191700;467600;1.23393e+07;2.93492e+08;1.2844e+06;599900;569500
4000;5.04312e+07;1.28286e+08;1.45988e+08;1.21323e+08;6.56403e+07;2.26728e+07;219800;477400;1.25544e+07;3.12887e+08;1.3725e+06;621600;690800
4100;5.80144e+07;1.34353e+08;1.38007e+08;1.42749e+08;6.64049e+07;2.27893e+07;189200;640600;1.3268e+07;3.53612e+08;1.2001e+06;616800;1.076e+06
