0-4000
 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell
50;26400;41600;40600;38300;27300;15500;231700;89900;231300;157300;19300;7000;6200
100;49100;102700;100800;158000;62300;29200;223400;68500;416800;873200;37100;19600;21500
150;194000;235900;203500;250600;244400;86900;210600;63800;491100;993400;31900;24200;20900
200;263000;650800;557000;354800;234800;114500;286900;56600;629300;1.7176e+06;79200;69400;58400
250;525800;581700;576400;515300;334300;155300;157500;71200;801400;2.0688e+06;65900;62200;61900
300;387400;892200;1.2747e+06;1.2895e+06;776000;232800;148400;77300;1.495e+06;3.1454e+06;113600;86400;77900
