sorted-descend
 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell
50;4694;10047;11370;11222;8723;6813;17177;7314;1606;3926;3789;2228;1760
100;18093;40089;45235;44937;34934;24223;18027;10514;3620;15076;9220;4976;4338
150;40192;90135;101605;101157;78652;51852;18949;13714;5782;33857;15076;7934;7572
200;70884;160173;180465;179867;139856;89643;19799;16914;8048;59959;21291;10804;10326
250;110468;250215;281830;281082;218567;137437;20649;20114;10246;93662;27988;14369;13664
300;158737;360257;405695;404797;314778;195495;21499;23314;12772;133558;35044;17209;17650
