almost-sorted
 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell
50;4079;5647;4748;4062;1023;2388;16760;7314;1664;4236;4689;2068;1740
100;15664;22729;21771;15189;4554;6860;17633;10514;3800;30394;11002;4921;4168
150;34747;50031;49465;41967;8470;11957;18485;13714;6176;68094;18128;7799;7087
200;61332;93809;97138;93624;23719;23494;19323;16914;8766;120794;25200;11604;11881
250;95423;140615;137696;134506;26767;28221;20175;20114;11112;188494;32924;14594;12799
300;137002;201653;204745;196990;37221;37328;21023;23314;13924;271194;41184;18094;18175
