almost-sorted
 ;select;bubble;Aversion1;Aversion2;insert;binaryInsert;count;radix;merge;quick;heap;shellCiura;shell
50;23700;46300;38000;18400;8200;7500;252900;50100;165500;218100;9900;6300;5200
100;45200;93700;81200;124000;46700;24000;350700;147700;508700;1.1655e+06;34900;14600;12000
150;93600;149200;139900;110700;31900;41800;166600;68700;508500;2.3394e+06;44200;21800;17300
200;150600;229100;241000;338000;163200;57400;266700;145600;1.5962e+06;4.0127e+06;82800;52900;49700
250;562300;575400;361100;405100;130700;104200;301700;79600;1.1492e+06;8.1367e+06;84000;57900;41000
300;354100;883700;938200;776300;125200;77500;158700;119000;1.3515e+06;1.41864e+07;232800;129200;125300
