Aversion2
 ;0-5;0-4000;almost-sorted;sorted-descend;
50;34100;38300;18400;29800
100;157800;158000;124000;157900
150;580500;250600;110700;307700
200;699200;354800;338000;464200
250;969500;515300;405100;819200
300;1.0503e+06;1.2895e+06;776300;1.3087e+06
