Aversion1
 ;0-5;0-4000;almost-sorted;sorted-descend;
50;56700;40600;38000;36600
100;196400;100800;81200;162500
150;385400;203500;139900;299700
200;415200;557000;241000;435800
250;805100;576400;361100;932600
300;1.3374e+06;1.2747e+06;938200;1.5155e+06
