shellCiura
 ;0-5;0-4000;almost-sorted;sorted-descend;
50;42300;7000;6300;38300
100;32500;19600;14600;16700
150;28100;24200;21800;25200
200;57100;69400;52900;27200
250;159200;62200;57900;52300
300;128000;86400;129200;53300
